ObsID,LisfloodX,LisfloodY,Spinup_day,Min_calib_
"453","-109.725","48.575","1095","1460"
"458","-108.275","48.425","1095","1460"
"472","-106.375","48.125","1095","1460"
"473","-104.475","48.125","1095","1460"
"476","-106.375","48.025","1095","1460"
"477","-110.275","48.025","1095","1460"
"496","-104.125","47.675","1095","1460"
"498","-103.275","47.575","1095","1460"
"520","-107.875","46.975","1095","1460"
"527","-100.825","46.825","1095","1460"
"535","-93.725","46.575","1095","1460"
"541","-108.575","46.425","1095","1460"
"542","-105.825","46.375","1095","1460"
"544","-100.925","46.375","1095","1460"
"546","-103.925","46.325","1095","1460"
"555","-111.425","46.125","1095","1460"
"556","-107.475","46.125","1095","1460"
"563","-111.575","45.925","1095","1460"
"567","-108.475","45.775","1095","1460"
"571","-100.775","45.675","1095","1460"
"573","-112.325","45.625","1095","1460"
"575","-98.325","45.625","1095","1460"
"583","-92.625","45.425","1095","1460"
"588","-100.875","45.275","1095","1460"
"598","-98.475","45.025","1095","1460"
"601","-93.125","44.925","1095","1460"
"602","-95.775","44.975","1095","1460"
"603","-91.425","44.925","1095","1460"
"605","-89.625","44.875","1095","1460"
"610","-108.175","44.775","1095","1460"
"613","-93.775","44.625","1095","1460"
"614","-103.775","44.675","1095","1460"
"616","-91.975","44.675","1095","1460"
"618","-101.925","44.525","1095","1460"
"621","-89.875","44.375","1095","1460"
"622","-102.525","44.375","1095","1460"
"625","-96.725","44.175","1095","1460"
"628","-102.375","44.075","1095","1460"
"630","-98.075","43.975","1095","1460"
"634","-101.525","43.775","1095","1460"
"635","-99.525","43.725","1095","1460"
"640","-89.725","43.575","1095","1460"
"642","-108.175","43.475","1095","1460"
"646","-103.875","43.325","1095","1460"
"648","-90.375","43.225","1095","1460"
"649","-97.675","43.225","1095","1460"
"654","-100.325","42.875","1095","1460"
"656","-97.325","42.875","1095","1460"
"657","-96.575","42.825","1095","1460"
"660","-98.225","42.725","1095","1460"
"662","-105.125","42.625","1095","1460"
"667","-94.175","42.525","1095","1460"
"668","-92.325","42.475","1095","1460"
"669","-93.975","42.275","1095","1460"
"673","-104.025","41.975","1095","1460"
"675","-91.675","41.975","1095","1460"
"676","-107.075","41.875","1095","1460"
"678","-90.225","41.775","1095","1460"
"680","-90.175","41.575","1095","1460"
"685","-97.775","41.425","1095","1460"
"687","-91.275","41.425","1095","1460"
"688","-97.525","41.375","1095","1460"
"690","-88.175","41.325","1095","1460"
"691","-96.275","41.275","1095","1460"
"692","-98.425","41.275","1095","1460"
"693","-95.925","41.275","1095","1460"
"695","-101.675","41.225","1095","1460"
"696","-98.425","41.225","1095","1460"
"699","-91.175","41.175","1095","1460"
"700","-101.575","41.125","1095","1460"
"701","-89.375","41.075","1095","1460"
"702","-96.325","41.075","1095","1460"
"703","-96.175","41.025","1095","1460"
"706","-98.275","40.875","1095","1460"
"707","-91.275","40.775","1095","1460"
"708","-91.975","40.725","1095","1460"
"710","-95.825","40.675","1095","1460"
"711","-79.725","40.625","1095","1460"
"714","-86.875","40.425","1095","1460"
"715","-104.575","40.425","1095","1460"
"717","-91.375","40.425","1095","1460"
"718","-103.925","40.325","1095","1460"
"721","-100.125","40.275","1095","1460"
"725","-101.225","40.125","1095","1460"
"726","-89.975","40.125","1095","1460"
"727","-80.725","40.125","1095","1460"
"729","-95.425","40.075","1095","1460"
"731","-104.875","39.925","1095","1460"
"732","-90.625","39.675","1095","1460"
"735","-81.875","39.675","1095","1460"
"736","-93.275","39.625","1095","1460"
"740","-97.125","39.375","1095","1460"
"741","-96.525","39.225","1095","1460"
"742","-82.875","39.225","1095","1460"
"743","-96.275","39.175","1095","1460"
"745","-94.575","39.125","1095","1460"
"748","-94.975","38.975","1095","1460"
"749","-92.725","38.975","1095","1460"
"750","-97.475","38.975","1095","1460"
"753","-87.025","38.925","1095","1460"
"754","-97.125","38.925","1095","1460"
"755","-90.175","38.875","1095","1460"
"760","-98.225","38.725","1095","1460"
"761","-91.425","38.725","1095","1460"
"763","-86.775","38.725","1095","1460"
"764","-90.175","38.625","1095","1460"
"767","-87.275","38.525","1095","1460"
"768","-87.775","38.375","1095","1460"
"769","-89.875","38.325","1095","1460"
"770","-85.825","38.275","1095","1460"
"771","-104.675","38.275","1095","1460"
"772","-92.575","38.225","1095","1460"
"773","-81.225","38.125","1095","1460"
"775","-94.175","38.025","1095","1460"
"777","-89.775","37.875","1095","1460"
"783","-95.125","37.325","1095","1460"
"785","-89.475","37.225","1095","1460"
"786","-88.725","37.125","1095","1460"
"788","-97.075","37.075","1095","1460"
"789","-88.225","37.125","1095","1460"
"793","-94.975","36.925","1095","1460"
"800","-93.225","36.625","1095","1460"
"801","-98.825","36.475","1095","1460"
"807","-86.675","36.325","1095","1460"
"809","-95.225","36.225","1095","1460"
"811","-95.975","36.125","1095","1460"
"812","-91.075","36.125","1095","1460"
"817","-96.925","36.025","1095","1460"
"819","-97.925","35.975","1095","1460"
"820","-100.325","35.925","1095","1460"
"824","-91.275","35.775","1095","1460"
"825","-91.625","35.775","1095","1460"
"826","-91.275","35.625","1095","1460"
"828","-96.225","35.275","1095","1460"
"829","-95.225","35.275","1095","1460"
"830","-88.275","35.225","1095","1460"
"831","-85.275","35.075","1095","1460"
"835","-92.275","34.775","1095","1460"
"836","-91.425","34.775","1095","1460"
"839","-99.075","34.675","1095","1460"
"841","-86.575","34.575","1095","1460"
"849","-98.525","34.125","1095","1460"
"852","-95.525","33.875","1095","1460"
"854","-96.575","33.825","1095","1460"
"855","-97.175","33.725","1095","1460"
"856","-90.225","33.725","1095","1460"
"858","-92.825","33.575","1095","1460"
"860","-94.075","33.575","1095","1460"
"865","-93.825","33.075","1095","1460"
"879","-90.925","32.425","1095","1460"
"880","-90.975","32.275","1095","1460"
"909","-91.275","29.625","1095","1460"
