LakID,GLWD_ID,LAKE_NAME,COUNTRY,CONTINENT,LONG_DEG,LAT_DEG,X_CORRECTE,Y_CORRECTE,X_coord_au,Y_coord_au,ZZ_note_lo,GloFAS_sta,LisfloodX3,LisfloodY3,remap_com
1,8,Baikal,Russia,Asia,108.14,53.63,104.45,52.15,104.45,52.15,,,104.425,52.175,remapped
2,9,Great Bear,Canada,North America,-121.3,65.91,-123.45,65.15,-123.45,65.15,,G0069,-123.475,65.125,remapped
3,49,Dubawnt,Canada,North America,-101.44,63.13,-100.85,63.65,-100.85,63.35,not diectly connected but big,,-100.725,63.575,remapped
4,59,Hovs Gol,Mongolia,Asia,100.48,51.02,100.25,50.55,100.25,50.55,,,100.225,50.575,remapped
5,75,Hulun,China,Asia,117.38,48.97,117.65,49.25,117.65,49.25,"has inflows and outflow, not closed",,117.325,48.875,needs correction to LDD see ticket efcc2254
6,78,Poyang,China,Asia,116.06,29.25,116.15,29.65,116.15,29.65,,,116.175,29.725,remapped
7,97,Baker,Canada,North America,-95.28,64.13,-94.25,64.05,-94.25,64.05,"cat2, close to sea",,-94.225,64.075,remapped
8,100,Martre,Canada,North America,-117.91,63.33,-117.95,63.35,-117.45,63.25,station below outlet,G0103,-117.325,63.175,remapped
9,109,Hongze,China,Asia,118.53,33.34,118.75,33.05,118.75,33.15,,,118.725,33.075,remapped
10,126,Yathkyed,Canada,North America,-98.07,62.69,-97.65,62.95,-97.65,62.95,,,-97.675,62.925,remapped
11,135,Sevan,Armenia,Asia,45.29,40.39,44.95,40.55,45.05,40.55,"10% outlet, 90% evaporates, for testing",,44.975,40.575,remapped
12,152,Aberdeen,Canada,North America,-98.59,64.55,-98.35,64.65,-98.35,64.65,,,-98.375,64.625,remapped
13,184,MacKay,Canada,North America,-111.3,63.96,-109.85,64.15,-110.35,64.05,"cat2, not sure where it drains",,-109.875,64.175,remapped
14,218,,Russia,Asia,91.18,68.36,89.85,68.25,89.95,68.25,"cat2, upstream of resevoir",,89.825,68.375,remapped
15,226,Aylmer,Canada,North America,-108.46,64.15,-108.45,64.45,-108.55,64.35,"cat2, area with many lakes",,-108.025,64.075,unsure of position - river flows in opposite direction on 1 deg
16,230,,China,Asia,112.17,28.92,112.85,28.95,112.65,28.85,,,112.875,28.875,remapped
17,232,,Canada,North America,-113.84,65.31,-114.35,65.65,-112.55,65.15,,,-114.325,65.625,remapped
18,233,Chao,China,Asia,117.57,31.57,117.75,31.55,117.75,31.55,,,117.775,31.625,remapped
19,261,Yang-Cho-Yung,China,Asia,90.76,28.97,90.35,29.15,90.65,29.15,cat2,,90.375,29.125,remapped
20,268,Biwa-ko,Japan,Asia,136.08,35.25,135.95,35.15,135.95,35.15,,,135.875,35.025,remapped
21,275,Clinton-Colden,Canada,North America,-107.45,63.94,-107.65,64.05,-107.65,64.05,"cat2, area with many lakes",,-107.325,63.825,remapped - river flows in opposite direction on 1deg
22,286,Murray,Papua New Guinea,Asia,141.53,-6.95,141.55,-7.05,141.55,-7.05,cat2,,141.525,-7.225,remapped
23,287,Gaoyou,China,Asia,119.31,32.87,119.35,32.75,119.35,32.75,,,119.375,32.725,remapped
24,291,Buyr,Mongolia,Asia,117.69,47.81,117.75,47.95,117.75,47.95,"small inflow and outflow, middle of steps, cat2",,117.775,47.925,remapped
25,300,Ngoring,China,Asia,97.71,34.93,97.75,35.05,97.75,35.05,,G0833,97.775,35.075,remapped
26,320,Kaminuriak,Canada,North America,-95.79,62.96,-95.75,62.65,-95.75,62.65,,,-95.725,62.725,remapped
27,334,Artillery,Canada,North America,-107.82,63.17,-108.25,62.95,-108.25,62.95,station at the uotlet,G0105,-108.275,62.925,remapped
28,336,Gyaring,China,Asia,97.27,34.92,97.25,34.85,97.35,34.85,station is below second lake,G0833,97.275,34.825,remapped
29,430,Faber,Canada,North America,-117.25,63.95,-117.05,63.75,-117.15,63.85,station at the outlet,G0060,-117.425,64.025,remapped - river flows in opposite direction on 1 deg
30,433,Keta,Russia,Asia,89.89,68.75,89.55,68.85,89.65,68.75,,,89.625,68.825,remapped
31,438,Schultz,Canada,North America,-97.44,64.74,-97.05,64.75,-97.05,64.75,,,-97.075,64.775,remapped
32,449,Wharton,Canada,North America,-99.74,64,-99.75,64.05,-99.75,64.05,"cat2, area with many lakes",,-99.725,64.025,remapped
33,495,Portnyagino,Russia,Asia,106.95,74.14,106.55,74.15,106.65,74.15,,,106.575,74.175,remapped
34,500,Udyl',Russia,Asia,139.77,52.07,140.15,52.25,140.05,52.15,,,140.125,52.225,remapped
35,502,Bolon',Russia,Asia,136.39,49.8,136.55,49.85,136.45,49.85,,,136.575,49.875,remapped
36,531,Liangzi,China,Asia,114.51,30.23,114.65,30.25,114.55,30.25,,,114.575,30.275,remapped
37,536,Bangong,China,Asia,79.71,33.61,79.05,33.75,79.05,33.75,seems not closed,,79.075,33.725,remapped
38,539,Longgan,China,Asia,116.14,29.97,116.15,29.95,116.15,29.95,,,116.225,29.975,remapped
39,561,Lama_2,Russia,Asia,90.63,69.5,89.95,69.55,89.95,69.55,,,89.875,69.525,remapped
40,608,Orel',Russia,Asia,139.78,53.45,139.85,53.35,139.75,53.45,"cat2, close to sea but a city downstream",,139.825,53.375,remapped
41,612,,Russia,Asia,140.25,51.64,140.25,51.75,140.15,51.55,,,140.225,51.675,remapped
42,615,Ford,Canada,North America,-97.36,63.4,-97.15,63.55,-97.05,63.65,,,-97.175,63.575,remapped
43,620,Dongting,China,Asia,112.92,29.32,113.05,29.35,113.05,29.35,,,113.025,29.325,remapped
44,623,Daguan,China,Asia,116.38,30.04,116.35,30.05,116.35,30.05,,,116.425,30.075,remapped
45,627,Dian Chi,China,Asia,102.69,24.85,102.65,24.75,102.65,24.75,,,102.625,24.775,remapped
46,642,,India,Asia,93.85,24.56,93.85,24.45,93.85,24.45,,,93.875,24.475,remapped
47,649,P'u-mo-ts'o,China,Asia,90.4,28.55,90.45,28.65,90.35,28.55,cat2,,90.425,28.625,remapped
48,671,Kungasalakh,Russia,Asia,107.23,74.61,107.55,74.55,107.55,74.55,,,107.575,74.525,remapped
49,688,Song-kel,Kyrgyzstan,Asia,75.17,41.84,75.35,41.75,75.25,41.85,"not main river, not so big outflow, cat2",,75.325,41.775,remapped
50,697,Pangong,India,Asia,78.61,33.82,78.45,33.95,78.45,33.95,seems not closed,,78.425,33.975,remapped
51,722,,Vietnam,Asia,104.94,21.9,105.05,21.75,104.95,21.85,,,105.025,21.725,remapped
52,750,,Burma,Asia,96.96,19.99,97.05,19.85,97.05,19.85,,,97.075,19.775,remapped
53,760,Grandin,Canada,North America,-118.98,63.99,-118.65,63.95,-118.65,63.95,"cat 2, big lake downstream",,-118.775,63.925,remapped
54,767,Erh,China,Asia,100.18,25.78,100.15,25.65,100.15,25.75,cat2,,100.225,25.625,remapped
55,776,Vivi,Russia,Asia,93.81,66.76,94.15,66.45,93.85,66.75,cat2,G0058,94.225,66.425,remapped
56,783,Lama_1,Russia,Asia,89.22,69.35,88.95,69.35,88.95,69.35,,,88.925,69.325,remapped
57,791,Shijiu,China,Asia,118.87,31.46,118.85,31.45,118.85,31.45,,,118.775,31.475,remapped
58,794,Saitlan,Russia,Asia,78.56,54.98,78.55,54.95,78.55,54.95,,,78.525,54.925,remapped
59,799,,Iran,Asia,47.83,31.17,47.75,31.05,47.75,31.05,,,47.675,31.075,remapped
60,851,Saltaim,Russia,Asia,71.93,56.12,72.05,56.25,71.95,56.15,cat2,,72.025,56.225,remapped
61,876,Weishan,China,Asia,117.24,34.61,117.35,34.55,117.15,34.65,"in fact connected with upstream Dushan Lake, dam?",,117.325,34.575,remapped
62,892,Fuxian,China,Asia,102.89,24.49,102.95,24.55,102.85,24.55,,,102.925,24.525,remapped
63,921,Neyato,Russia,Asia,70.38,70.06,70.15,70.15,70.55,70.05,cat2,,70.225,70.125,remapped
64,950,Chertovo,Russia,Asia,80.42,64.13,80.95,64.15,80.95,64.15,,,80.925,64.125,remapped
65,967,,Canada,North America,-96.88,63.64,-95.95,63.65,-95.95,63.65,station below (after station is moved),G0097,-95.925,63.625,remapped
66,970,,China,Asia,117.07,30.83,117.05,30.75,117.05,30.75,,,117.125,30.725,remapped
67,972,Teletskoye,Russia,Asia,87.68,51.56,87.45,51.75,87.45,51.75,,,87.325,51.775,remapped
68,991,,Canada,North America,-108.88,64.65,-108.85,64.55,-109.05,64.65,"cat2, area- many lakes, not sure if on main river",,-108.825,64.575,remapped
69,1011,Bolshoy Uvat,Russia,Asia,70.47,57.54,70.65,57.55,70.65,57.55,cat2,,70.675,57.575,remapped
70,1070,,Russia,Asia,68.99,60.68,69.45,60.75,69.45,60.75,"cat2, not very clear connection",,69.475,60.775,remapped
71,1079,Na,China,Asia,91.48,32.02,91.45,31.95,91.45,32.05,,,91.475,31.975,remapped
72,1089,Marjorie,Canada,North America,-99.36,64.15,-99.45,64.25,-99.35,64.15,,,-99.425,64.225,remapped
73,1106,Horton,Canada,North America,-122.5,67.48,-122.45,67.55,-122.25,67.45,,,-122.425,67.575,remapped
74,1107,Junshan,China,Asia,116.31,28.51,116.25,28.55,116.35,28.45,"cat2, upsteam of huge lake",,116.275,28.625,remapped
75,1141,,Canada,North America,-115.17,64.23,-115.35,64.05,-115.25,64.25,"area with many lakes, station below",G0090,-115.325,64.075,remapped
76,1145,Kus,Turkey,Asia,27.96,40.19,28.05,40.15,28.05,40.15,close to sea but there is station downstream,G0720,28.025,40.175,remapped
77,1164,Beverly,Canada,North America,-100.52,64.61,-100.25,64.55,-100.45,64.65,,,-100.275,64.575,remapped
78,1185,Nose,Canada,North America,-108.91,65.42,-108.85,65.45,-108.95,65.45,,G0045,-108.875,65.475,remapped
79,1187,Ozhogino,Russia,Asia,146.64,69.25,146.65,69.25,146.65,69.25,"keep but shouldn't change much, glacial",,146.775,69.225,remapped
80,1196,Tiberias,Israel,Asia,35.59,32.8,35.55,32.75,35.55,32.85,,G0875,35.575,32.725,see question in efcc2254
81,1204,Kasumiga-ura,Japan,Asia,140.37,36.05,140.35,36.05,140.35,36.05,"close to sea, but highly populated area",,140.475,35.975,remapped
82,1206,Dushan Lake,China,Asia,116.87,34.97,117.05,34.85,116.85,35.05,,,116.975,34.875,remapped
83,1208,,Russia,Asia,140.04,53.43,139.95,53.35,140.05,53.45,"cat2, close to sea but a city downstream",,139.975,53.375,remapped
84,1226,,Russia,Asia,69.43,60.5,69.55,60.55,69.55,60.55,,,69.575,60.625,remapped
85,1236,Ulubat,Turkey,Asia,28.59,40.17,28.55,40.15,28.55,40.15,close to sea but there is station downstream,G0720,28.475,40.225,remapped
86,1270,Po,China,Asia,116.44,30.15,116.45,30.15,116.45,30.15,,,116.525,30.075,remapped
87,1275,Glubokoye,Russia,Asia,90.1,69.27,89.75,69.35,90.25,69.25,,,89.675,69.325,remapped
88,1326,,Canada,North America,-96.91,62.91,-96.65,62.85,-96.65,62.85,,,-96.625,62.875,remapped
89,1327,Kuyumazarskoye,Uzbekistan,Asia,64.83,39.85,64.85,39.85,64.85,39.85,"not main drainage,dry area, cat2",,64.775,39.825,remapped
90,1335,Nvshan Lake,China,Asia,118.23,32.94,118.25,32.95,118.05,32.95,,,118.275,32.925,remapped
91,1340,Shuryshkarskiy,Russia,Asia,65.14,65.99,65.25,65.95,65.25,65.95,"cat2, complex lake, multiple chanel landscape",,65.325,65.925,shift 1 pixel east
92,1350,Luran,Canada,North America,-93.01,64.86,-93.05,64.85,-93.05,64.85,"cat2, area with many lakes",,-92.925,64.825,remapped
93,1358,Futou,China,Asia,114.2,30.04,114.15,30.05,114.25,30.05,,,114.175,30.075,remapped
94,1404,Wabu,China,Asia,116.88,32.39,116.85,32.55,116.85,32.55,,,116.875,32.525,remapped
95,1411,,Russia,Asia,65.79,62.28,65.65,62.25,65.65,62.25,"cat2, complex lake, multiple chanel landscape",,65.825,62.275,remapped
96,1430,Luoma,China,Asia,118.21,34.06,118.25,34.15,118.25,34.05,,,118.275,34.125,remapped
97,1433,Danau Ranau,Indonesia,Asia,103.94,-4.89,103.95,-4.85,103.95,-4.85,,,103.925,-4.825,remapped
98,1458,,Russia,Asia,137.34,50.28,137.15,50.35,137.15,50.35,,,137.125,50.325,remapped
99,1503,Chang,China,Asia,112.38,30.44,112.45,30.45,112.45,30.45,cat2,,112.475,30.425,remapped
100,1516,Baunt,Russia,Asia,112.98,55.21,113.05,55.25,113.05,55.25,"cat2, not very big outflow",,113.075,55.275,remapped
101,1555,Indawngy,Burma,Asia,96.34,25.15,96.35,25.15,96.35,25.15,cat2,,96.375,25.225,remapped
102,1558,,China,Asia,116.16,28.49,116.15,28.55,116.15,28.55,"cat2, upsteam of huge lake",,116.175,28.575,remapped
103,1576,Birch,Canada,North America,-121.61,64.62,-121.55,64.65,-121.55,64.65,"just upstream big lake, station downsteam",,-121.475,64.625,remapped
104,1600,Fish,Canada,North America,-122.57,63.16,-122.75,63.15,-122.75,63.15,"cat2, on small tributary",,-122.775,63.175,remapped
105,1606,,Russia,Asia,66.3,64.43,66.15,64.45,66.15,64.45,"cat2, complex lake, multiple chanel landscape",,66.125,64.475,remapped
106,1621,,Canada,North America,-117,67.38,-116.65,67.25,-116.65,67.25,"cat2, not populated area",,-116.675,67.275,remapped
107,1624,,Russia,Asia,65.17,62.62,65.15,62.65,65.15,62.65,"cat2, complex lake, multiple chanel landscape",,65.175,62.675,remapped
108,1629,Bulmer,Canada,North America,-120.77,62.8,-120.75,62.85,-120.75,62.85,"cat2, area with many lakes but station below",G0111,-120.725,62.775,remapped
109,1636,,Russia,Asia,91.77,68.72,91.45,68.55,91.85,68.75,"cat2, upstream of lake and reservoir",,91.475,68.575,remapped
110,1658,Dongping,China,Asia,116.18,36.01,116.15,36.05,116.15,35.95,"by big city, cat 2",no space,116.225,36.075,remapped
111,1666,,Canada,North America,-131.79,67.69,-131.85,67.65,-131.85,67.65,"cat2, not populated area",,-131.875,67.625,remapped
112,1671,Danau Singkarak,Indonesia,Asia,100.54,-0.62,100.55,-0.55,100.55,-0.65,majority of wate diverted to W by hydr. proj.,,100.575,-0.575,remapped
113,1675,Temchi,Russia,Asia,95,66.79,95.05,66.65,95.05,66.75,cat2,G1543,95.175,66.625,remapped
114,1709,,Russia,Asia,67.23,61.61,67.15,61.65,67.15,61.65,"cat2, complex lake, multiple chanel landscape",,67.225,61.675,remapped
115,1789,TudakolÆ,Uzbekistan,Asia,64.18,39.12,64.25,39.05,64.25,39.05,"not main drainage,dry area, cat2",,64.075,39.175,see question in efcc2554
116,2,Lake Superior,Canada,North America,-88.23,47.72,-84.55,46.45,-84.55,46.45,,,-84.525,46.475,remapped
117,5,Lake Huron,Canada,North America,-82.21,44.78,-82.45,43.05,-82.35,43.15,,,-82.425,43.025,remapped
118,6,Lake Michigan,United States,North America,-87.09,43.86,-84.85,45.85,-84.85,45.85,,,-84.825,45.825,remapped
119,11,Great Slave,Canada,North America,-114.37,62.09,-117.45,61.25,-117.45,61.25,,G0136,-117.425,61.225,remapped
120,12,Lake Erie,Canada,North America,-81.16,42.25,-78.95,42.85,-78.95,42.85,,,-78.925,42.825,remapped
121,13,Winnipeg,Canada,North America,-97.25,52.12,-97.85,53.65,-97.85,53.65,,,-97.875,53.675,remapped
122,15,Lake Ontario,Canada,North America,-77.77,43.85,-75.85,44.45,-75.85,44.45,,,-75.825,44.425,remapped
123,23,Athabasca,Canada,North America,-109.96,59.1,-111.25,58.85,-111.25,58.75,,G0162,-111.175,58.725,remapped
124,28,Reindeer,Canada,North America,-102.27,57.19,-102.85,56.55,-103.15,56.25,,G0234,-102.875,56.525,remapped
125,31,Winnipegosis,Canada,North America,-100.05,52.37,-99.75,51.65,-99.75,51.65,,,-99.775,51.675,remapped
126,37,Manitoba,Canada,North America,-98.8,50.99,-98.85,51.45,-98.85,51.45,,,-98.775,51.575,remapped
127,38,Nipigon,Canada,North America,-88.55,49.8,-88.25,49.45,-88.25,49.45,,,-88.325,49.425,remapped
128,44,Lake of the Woods,Canada,North America,-94.91,49.38,-94.55,49.85,-94.55,49.85,,,-94.575,49.825,remapped
129,83,Nueltin,Canada,North America,-99.4,60.25,-98.95,60.75,-99.15,60.75,,,-98.975,60.825,remapped
130,114,Lake Okeechobee,United States,North America,-80.86,26.95,-81.05,26.95,-81.05,26.95,"multiple, controlled outlets to S",,-80.775,26.725,remapped - river flows in opposite direction on 1 deg
131,124,Kasba,Canada,North America,-102.27,60.34,-101.95,60.05,-101.95,60.05,,,-102.175,60.525,remapped - river flows in opposite direction on 1deg
132,127,Ronge,Canada,North America,-104.83,55.11,-104.65,55.25,-104.65,55.25,"not main river, but big",,-104.625,55.275,remapped
133,130,Rainy Lake,Canada,North America,-92.97,48.61,-93.25,48.65,-93.25,48.65,controlled by dam at the outlet,G0446,-93.275,48.625,remapped
134,146,Lake Saint Clair,Canada,North America,-82.73,42.5,-82.95,42.35,-82.95,42.35,,,-82.925,42.375,remapped
135,147,Lesser Slave,Canada,North America,-115.49,55.43,-114.85,55.35,-114.85,55.35,,G0256,-114.825,55.375,remapped
136,153,Chapala,Mexico,North America,-103.05,20.21,-102.85,20.25,-102.85,20.25,"outflow-Rio Grande di Santiego, NW to Pacific",,-102.775,20.325,grabs water also from SE
137,155,Bienville,Canada,North America,-72.98,55.05,-73.55,54.95,-73.25,54.95,,,-73.275,54.975,remapped
138,165,Lake Champlain,United States,North America,-73.27,44.45,-73.35,44.95,-73.35,44.95,,G0584,-73.325,45.075,improve gets water also from east
139,172,Gods,Canada,North America,-94.21,54.62,-94.05,54.85,-94.15,54.75,,G0263,-94.075,54.825,remapped
140,213,Playgreen,Canada,North America,-97.75,54.07,-97.75,54.05,-97.75,54.05,,,-97.975,54.375,remapped
141,222,Peter Pond,Canada,North America,-108.55,55.84,-108.45,55.85,-108.55,55.85,,,-108.475,55.825,remapped
142,224,Minto,Canada,North America,-74.71,57.34,-74.25,57.55,-74.25,57.55,,,-74.275,57.525,remapped
143,251,Cross,Canada,North America,-97.58,54.71,-97.85,54.65,-97.85,54.65,,,-97.825,54.675,remapped
144,264,Kamilukuak,Canada,North America,-101.73,62.28,-101.85,62.45,-101.85,62.45,,,-101.875,62.475,remapped
145,281,Dore,Canada,North America,-107.28,54.76,-107.45,54.75,-107.45,54.75,"cat2, not main river",,-107.475,54.725,remapped
146,285,St. Joseph,Canada,North America,-90.81,51.04,-90.25,51.15,-90.25,51.15,,,-90.275,51.125,remapped
147,288,,Canada,North America,-100.44,55.83,-100.55,56.05,-100.45,55.85,,G0224,-100.525,56.125,remapped
148,299,Buffalo,Canada,North America,-115.49,60.22,-115.25,60.35,-115.35,60.25,"cat2, big lake just downstream",G0149,-115.225,60.325,remapped
149,323,Churchill,Canada,North America,-108.29,55.96,-108.35,55.85,-108.45,55.85,,,-108.425,55.875,remapped
150,324,Angikuni,Canada,North America,-100.04,62.27,-99.65,62.25,-99.75,62.25,,,-99.625,62.275,remapped
151,333,Black,Canada,North America,-105.73,59.05,-105.55,59.15,-105.45,59.15,,G0177,-105.575,59.125,remapped
152,340,Lake Winnebago,United States,North America,-88.42,44.02,-88.45,44.15,-88.45,44.05,,G0623,-88.425,44.175,remapped
153,351,Dauphin,Canada,North America,-99.77,51.27,-99.95,51.45,-99.85,51.35,"cat2, not main river",,-99.975,51.425,remapped
154,353,Payne,Canada,North America,-73.82,59.4,-73.25,59.25,-74.05,59.45,,,-73.275,59.275,remapped
155,356,Sandy,Canada,North America,-93.03,53,-92.55,53.05,-92.55,53.05,,,-92.575,53.075,remapped
156,363,Granville,Canada,North America,-100.21,56.4,-100.05,56.45,-100.15,56.45,,,-100.075,56.475,remapped
